44,23-1,23,"Gavman	blong	Canada	i	kivim	mane	tu	blong	wan	kompiuta	blong	Nasonal	Akaev	blong	Vanuatu.","government	PREP	Canada	AGR	give:TR	money	too	COMP	INDF.ART	computer	PREP	national	archive	PREP	Vanuatu","The Canadian Government has also given money for a computer for the National Archives of Vanuatu."
45,24-1,24,"Wi	kech	plente	aabuuka.","1PL	catch	much	groper","We caught lots of groper (fish sp.)."
46,24-2,24,"Mum	gwen	florg	et.","mother	FUT	beat	me/you/him/her/it/us/you/them","Mother will beat me."
47,24-66,24,"Ø	laentan	el	giw	a'	gud	lait.","Ø	lantern	HAB	give	DET.INDF	good	light","A lantern gives a good light."
48,24-109,24,"Leonard	cook	dem	fesh.","Leonard	cook	DET.DEF.PL	fish","Leonard cook(ed) the fish."
49,25-1,25,"Wan	litel	gel	bin	kat-im-bat	wud	blanga	Jein.","one	little	girl	PST	cut-TR-PROG	wood	DAT/POSS	Jane","One/a certain little girl was cutting wood for Jane."
50,25-2,25,"Wan	moning	jad	olgamen	bin	dringk-im-bat	ti.","one	morning	DEM	woman	PST	drink-TR-PROG	tea","One morning the woman was drinking tea."
51,25-4,25,"Stakmen	bin	barn-im	gras.","stockman	PST	burn-TR	grass","The stockmen burnt the grass."
52,25-5,25,"Dij	kamel	im	lik-im-bat	bo	dat	kanggaru	irrahol.","PROX	camel	3SG	lick-TR-PROG	DAT	DEM	kangaroo	ear","This camel is licking the kangaroo's ear."
53,25-6,25,"Orla	kid	bin	tjak-am	ston.","PL	child	PST	chuck-TR	stone","The children threw stones."
54,26-1,26,"smal	lido	ɹak	hiʔ	[...]	ɹol	daʊ	da	ɹuf","small	little	rock	hit	[...]	roll	down	ART	roof","Small little rocks hit [...] roll down the roof."
55,26-2,26,"ænti	maɪd	hæv	ɹitn	[...]	wan	buk","auntie	SPECUL.JUDG	have	write.PRF	[...]	ART	book","Auntie might have written [...] a book."
56,26-3,26,"dis	waɾɛva	spɹiʔ	wɛn	ʤamp	intu	dis	wan	gaɪ	[...]	dis	mis	was	ʧoki-ŋ	diz	gaɪ-z	nɛk","DEM	whatever	spirit	PST.PFV	jump	into	DEM	one	guy	[...]	DEM	mist	COP.PST	choke-PROG	DEM	guy-GEN	neck","This whatever spirit jumped into this one guy [...] this mist was choking this guy's neck."
57,26-5,26,"pɛlɛ	laɪk	wiski","Pele	like	whiskey","Pele likes whiskey."
58,27-1,27,"Də	mēⁿshi	a	kri	ēn	kin.","DET	girl	PST	get	INDF	child","The girl had a child."
59,28-1,28,"di	toko-apu	furu-furu-tɛ	ɛkɛ	buku","the	child-PL	steal-steal-PFV	1SG	book","The children stole my books (repeatedly, over a period of time)."
60,28-2,28,"eni	hari	das	bain	eni	toro","3PL	hear	HAB	cover	3PL	face","Their hair covers their faces."
61,29-1,29,"omdat	Jan	die	water	weg-gooi","because	John	DEF.ART	water	away-throws","because John throws away the water"
62,29-2,29,"Jan	gooi	die	water	weg.","John	throws	DEF.ART	water	away","John throws the water away."
63,29-3,29,"Daarom	gooi	Jan	die	water	weg.","therefore	throws	John	DEF.ART	water	away","For that reason, John is throwing away the water."
64,30-1,30,"Katxor	morde	mininu.","dog	bite	child","The dog bit the child."
65,31-1,31,"N	ta	gradise	nha	fidjus.","1SG	ASP	thank	my	children","I thank my children."
66,31-2,31,"Djedje	di	Djai	atxa	mudjer	bibu.","Djedje	of	Djai	found	woman	alive","Djedje of Djai's found the woman alive."
67,32-1,32,"Nha	tia	fazê	kmida.","1SG.POSS	aunt	make	food","My aunt cooked food."
68,33-1,33,"Djon	ta	pista	si	amigu-s	dinheru	sempri	ku	disgostu.","John.SBJ	HAB	lend	POSS	friend-PL.OBL	money.OBJ	always	with	sorrow","John always lends money to his friends with sorrow."
69,33-17,33,"Maria	ta	beija	Djon	tudu	ora.","Maria	HAB	kiss	John	all	hour","Maria kisses John often."
70,33-60,33,"Lion	ta	montya	gazela.","lion	HAB	hunt	gazelle.SG","Lions hunt gazelles."
71,34-1,34,"Kacor	ø	selantá	gatu.","dog	PFV	chase	cat","The dog chased the cat."
72,35-1,35,"Mese	ka	kopla	ũa	lata	fanha.","master	IPFV	buy	one	can	flour","The master buys one can of flour."
73,36-1,36,"Tepu	nakulu	no	Ngola	ka	zi	kai	no	kota	mionga	[...].","time	old	we	Angolar	HAB	make	house	POSS.1PL	side	see	[...]","In the olden days, we, the Angolars, used to build our houses on the sea side [...]."
74,37-1,37,"[...]	ê	kume	inhemi	sê	pe.","[...]	3SG	eat	yam	DEM	IDEO","[...] He ate the whole yam."
75,37-16,37,"Mene	ka	kopa	pêxi	na	fya	sempi.","Mene	HAB	buy	fish	LOC	market	always","Mene always buys fish at the market."
76,37-34,37,"[...]	arê	vya	manda	sodadi.","[...]	king	REP	send	soldier","[...] the king sent soldiers again."
77,38-1,38,"No	skéve	wan	xata.","1PL	write	ART	letter","We write a letter."
78,38-16,38,"Mai	laba	mina	sunzu.","mother	wash	child	dirty","The mother washes the dirty child."
79,39-1,39,"Ryan	tə	lãb-e	biskit.","Ryan	IPFV.NPST	lick-INF	biscuit","Ryan is licking the biscuit."
80,39-2,39,"Jacob	tə	faz-e	vɔs	də	kɔb.","Jacob	IPFV.NPST	make-INF	voice	of	snake","Jacob is imitating the voice of a snake (lit. Jacob is making the voice of a snake)."
81,39-3,39,"El	nã	sab	purtəgez.","3	NEG	know.NPST	Portuguese","He doesn't know Portuguese."
82,39-4,39,"Nĩge	nã	apiŋ-o	pex.","nobody	NEG	catch-PST	fish","Nobody caught fish."
83,40-2,40,"Barber	tiran	ispi	su.	Ya	korto	su	rhab.","barber	pull.out.PROG	thorn	POSS.3SG	PST	cut.PST	3SG	tail","The barber was pulling the thorn out of his tail (with a knife). He cut off his tail."
84,40-44,40,"Teru	pelo	ũ	ũ	prat	yade.","Teru	OBJ.3PL	one	one	plate	gave","Teru gave each one of them a plate."
85,41-188,41,"avara	nosa	mahanaar-untu	um	pesaam	alaa	ɔɔrta	jaa-tomaa","now	1PL.GEN	son-LOC	one	person	there	land	PST-buy","Now one of our sons has bought land there."
86,42-1,42,"Taté	ja	olá	ku	bela	Rozil","Taté	PFV	see	ACC	old	Rozil","Taté saw old Rozil."
87,43-1,43,"Djenti	kumi	brot	[...].","people	eat	bread	[...]","People eat bread [...]."
88,44-1,44,"Ya	larga	Maria	quel	gumamela	colerao	[...].","PFV	leave	Maria	the	hibiscus	red	[...]","Maria left the red hibiscus [...]."
89,44-2,44,"Ta	yuda	bueno	el	Señor	con	todo	Mardicas.","IPFV	help	good	DEF	Lord	OBJ	all	mardicas","The Lord helps all the Mardicas well."
90,44-3,44,"Ya	kumpra	plor	el	baguntáw.","PFV	buy	flower	the	young.man","The young man bought a flower."
91,45-1,45,"Ya	coge	el	mga	pulis	con	el	ladron.","PFV	catch	the	PL	police	OBJ	the	thief","The policemen caught the thief."
92,45-2,45,"Ta	cumi	hamon	el	hombre.","IPFV	eat	ham	DEF	man","The man is eating ham."
93,46-1,46,"Ya-kurtá	yo	kunéste	kárne	kon	kuchílyo.","PFV-cut	1SG	OBJ.this	meat	with	knife","I cut this meat with a knife."
94,46-2,46,"Ya-pegá	'le	konel	péhro.","PRF-hit	he	OBJ.the	dog","He hit the dog."
95,46-3,46,"Ta-tomá	'le	múcho	bíno.","IPFV-drink	3SG	much	rum","S/he is drinking a lot of rum."
96,46-4,46,"Hendéq	'le	ta-komé	kárne?","NEG	3SG	eat	meat","S/he doesn't eat meat?"
97,46-5,46,"Ta-kantá	yo	(és)te	kansyón.","IPFV-sing	1SG	this	song","I am singing this song."
98,46-6,46,"Éle	ya-matá	pwérko	gat	alyá	gránde.","s/he	PRF-kill	pig	really	there	big","S/he killed a really big pig there."
99,46-7,46,"Silá	dos	el	ya-matá.","3PL	two	3SG	PRF-kill","The two of them killed him."
100,46-9,46,"Ya-prepará	ei	ómbre	un	baróto.","PFV-prepare	ART	man	a	baroto","The man prepared a small boat (baroto)."
101,46-10,46,"Ya-mirá	el	mga	ómbre	un	póno	de	ságing.","PFV-see	ART	PL	man	a	tree	of	banana","The men saw a banana tree."
102,46-11,46,"Ya-mirá	el	táta	su	sitwasyón.","PFV-see	ART	father	his	situation","The father saw his situation."
103,46-50,46,"El	marído	tyéne	kósa	ta-buská.","ART	husband	EXIST	what	IPFV-seek","The husband is looking for something."
104,46-74,46,"El	mga	ómbre	ya-kargá	tres	maléta	káda	úno.","ART	PL	man	PFV-carry	three	suitcase	each	one","The men carried three suitcases each."
105,47-1,47,"Awe	mainta	mi	a	bai	subi	Hooiberg.","today	morning	1SG	PFV	go	climb	Hooiberg","This morning I climbed Hooiberg."
106,47-3,47,"Maria	a	duna	Wanchu	un	buki.","Maria	PFV	give	Wanchu	INDF	book","Maria gave Wanchu a book."
107,48-1,48,"Ana	kelé	komblá	un	koka	kola.","Ana	want.INF	buy.INF	INDF	Coca	Cola","Ana wants to buy a Coca Cola."
108,48-3,48,"Fautina	asé	bebé	mucho	sebesa	nu.","Faustina	HAB	drink	much	beer	NEG","Faustina does not (usually) drink much beer."
109,49-1,49,"Siklòn	nan	kraze	kay	la.","cyclone	DEF	demolish	house	DEF","The cyclone demolished the house."
110,49-2,49,"Bouki	t	ap	danse	yon	bolewo.","Bouki	ANT	INACC	dance	INDF	bolero","Bouki was dancing a bolero."
111,50-1,50,"Pyè	ka	manjé	poul.","Peter	PROG	eat	chicken","Peter is eating chicken."
112,50-2,50,"I	pran	liv-la.","3SG	take	book-DEF","He took the book."
113,51-1,51,"Piè	ka	manjé	poul.","Peter	PROG	eat	chicken","Peter is eating chicken."
114,51-2,51,"I	pran	liv-la.","he	take	book-DEF","He took the book."
115,52-1,52,"mo	manman	bat	timoun-yan","my	mother	beat	children-ART","My mother beat the children."
116,53-1,53,"Bouki	trape	<banjo>-la.","Bouki	grab	banjo-ART.DEF.SG","Bouki grabbed the banjo."
117,53-2,53,"Mo	garson	achte	en	bel	lalyans	pou	so	kalin.","1SG.POSS	son	buy.PST	ART.INDF	pretty	wedding.ring	for	3SG.POSS.	girlfriend","My son bought a pretty wedding ring for his girlfriend."
118,54-1,54,"Lë	prèt	malbar	i	pran	en	ti	kouto.","DEF	priest	Indian	FIN	take	INDF	small	knife","The Indian priest takes a small knife."
119,55-1,55,"Pol	pu	bat	Zaṅ","Paul	FUT	hit	John","Paul will hit John."
120,56-1,56,"Nou	griy	nou	kafe.","1PL	roast	POSS.1PL	coffee","We roasted our coffee."
121,56-2,56,"Mari	ti	anbras	Zan	tanzantan.","Mary	PST	kiss	Jean	often","Mary often kissed Jean."
122,56-3,56,"Lion	i	manz	gazel.","lion	PM	eat	gazelle","Lions eat gazelles."
123,57-1,57,"ma	vwa	kas	sa	le	ŋgra","1SG	see	house	REL	SI	big","I see the big house."
124,57-57,57,"njo	le	mwaʃe	pa:	sa	le	vje","woman	PM	eat	bread	REL	SI	old","The woman eats some old bread."
125,57-119,57,"tule	per-la,	sola	koma:se	fer	tule	leŋglis	partu","PL	Father-DEM/DEF	3PL	begin	make	PL	church	everywhere","The Fathers began to construct churches everywhere."
126,58-1,58,"Yandi	baka	mbongo	sumb-il-a	mono	mukanda.","he	take.NARR	money	buy-APPL-NARR	me	book","He took money and bought me a/the book. OR: He bought me the/a book with (the) money."
127,58-2,58,"Bo	bula	bo	mosi.","3PL	hit	3PL	one","They hit themselves."
128,58-45,58,"Konso	bakala	nat-aka	valise	zole.","each	man/male	carry-PST	suitcase	two","Each man carried two suitcases."
129,59-1,59,"melenge	ti	lo	oko	a-mu	koli,	koli	ni	a-te	zo","child	of	3SG	one	PM-take	man	man	DET	PM-eat	person","His one child married a man; the man ate people."
130,59-2,59,"lo	ke	faa	gi	zo","3SG	COP	kill	only	person","He was (habitually) killing only people (not animals)."
131,59-3,59,"tongana	koli'	ti	ni	a-ga	a-mu	samba	na	lo,	[...]","if	man	of	1SG.LOG	PM-come	PM-give	beer	PREP	3SG	[...]","(She said) if my husband should come and offer you beer, [...]."
132,59-4,59,"koli	ni	aleke	zembe	kwe","man	DET	SM.prepare	knife	all","The husband prepared the knife to perfection. OR: The husband sharpened the knife to perfection."
133,59-5,59,"koli	ni	amu	lege	ahon'	na	ngonda","man	DET	SM.take	path	SM.depart	PREP	bush","The husband took off and went to the bush."
134,59-6,59,"lango	a-gbu	le	ti	kogara	ni	ape","sleep	PM-grab	eye	of	in-law	DET	NEG","The mother-in-law was not overcome by sleep."
135,60-1,60,"Pierre	a-món-ákí	Pauline","Pierre	3SG-see-PST	Pauline","Pierre saw Pauline."
136,61-1,61,"Lo	kati	buk-a	lo	inja.","ART	cat	see-PRS	ART	dog.","The cat is looking at the dog. OR: The cat looks at the dog."
137,62-1,62,"nhalwa	á-tanya	shuhe	na	afa	iʔí	haraza","Nhalwa	3SG-intervene	leopard	with	goat(s)	here	river:in","Nhalwa intervened the leopard and the goat here at the river."
138,63-1,63,"banát	kúlu	bi-lébisi	skirt	towíl","girl.PL	all	TAM-wear	skirt	long","The girls wear long skirts."
139,64-1,64,"ásed	ge=kátulu	nas","lion	PROG=kill	people","The lion kills people."
140,65-1,65,"Xəʧʒu	lisa	kupi-la.","Xeczu	rice	buy-PFV","Xeczu bought rice."
141,65-2,65,"Kitaisa	dava-li	minia	ixiɲ.","Chinese	give-PFV	1SG	3PL","They gave me to a Chinese."
142,65-3,65,"Lusəki	musina	pjotə	wotka	nogo.","Russian	man	drink.3SG.PRS	vodka	a.lot","Russian men drink too much alcohol."
143,65-4,65,"Rusəkə	xəleba	kuʃi.","Russian	bread	eat","Russians eat bread."
144,65-5,65,"Kniʃka	xoʧi	d'elaj	eta	liudi.","book	want	make	this	person","These people wish to compose a book."
145,65-6,65,"Ty	babəsəka	delaj	kuxajka.","2SG	grandmother	make	quilted.coat","Your grandmother used to make quilted coats."
146,66-1,66,"Go	bicaya	lu-yang.","1SG	believe	2SG-ACC.DEF","I believe you. (NOT: I believed you.)"
147,66-2,66,"Farida	dua	pong	yang	si-klatan.","Farida	two	tree	ACC.DEF	PST-look","Farida looked at the two trees."
148,66-3,66,"Anak	nasi	si-makan.","child	rice	PST-eat","The child ate rice."
149,66-71,66,"Pompang-anak	e-kasi	(aða)	kumbang	attu	de-pe	umma-na.","female-child	ASP-give	(AUX)	flower	INDF	3SG-POSS	mother-DAT","The girl has given a flower to her mother."
150,67-1,67,"Wah	tengok	punya	olang	pecaya,	sayang	sama	dia.","INTERJ	look.at	REL	person	believe	admire	with	3SG","Wah, people who were watching believed (and) admired him."
151,67-2,67,"Teochew	cakap	Teochew	la.","Teochew	speak	Teochew	EMPH","The Teochew speak Teochew."
152,68-1,68,"Dia	buka	mulu	ka	mari.","3SG	open	mouth	to	here","It opened its mouth to here."
153,68-36,68,"Ibu~ibu	suka	cari	dorang	pung	suami	di	situ.","PL~mother	like	search.for	3PL	POSS	husband	LOC	there","Married women search for their husbands there."
154,69-1,69,"mən	ama	namban	kratəkə-nan","3SG	1SG	DAT	hit-NONFUT","He hit me."
155,69-2,69,"nuŋgum	paymban	awkura-mbi	[...]","man	eagle	take-DEP	[...]","The eagle took the man and [...]."
156,69-45,69,"aykum	mən	mambi	man	kuraŋ	awt-ɲan","woman	3SG	again	other	coconut	take-NONFUT","The woman again took a coconut."
157,70-1,70,"Ham	bejo	ek	larika.","1SG	send	one	boy","I sent a boy."
158,70-2,70,"Ham	Simioni	milo.","1SG	Simioni	meet","I met Simioni."
159,70-15,70,"Kuta	deko	suar.","dog	see	pig","The dog saw the pig."
160,70-82,70,"Masta	ekdam	cesma	sanglas	paino.","Masta[name]	EMPH	glasses	sunglasses	put.on","Masta just put on sunglasses."
161,71-1,71,"Wau	kii	kela	papale	wau.","1SG	fetch	DET	hat	1SG.POSS","I fetched my hat."
162,71-2,71,"Kuai	wau	kela	pahu.","buy	1SG	DET	container","I bought the jar (of honey)."
163,71-3,71,"Iaia	puniu	inaha	la!","3SG	skull	smash	MOD","He smashes skulls!"
164,71-16,71,"Kela	lio	oe	inaha	akahi	eke	palani.","DET	horse	2SG.POSS	tear	INDF	sack	bran","Your horse tore into a sack of bran."
165,71-101,71,"Ma	ka	poalua	lawe	kela	Mino	i	ka	pu	ma	kahi	hana.","LOC	DEF	Tuesday	take	DET	Mino	OBJ	DEF	gun	LOC	place	work","On Tuesday, Mino took the gun to his workplace."
166,72-1,72,"Jintaku	karu-ngku	i	bin	ged-im	kengkaru	mirlarrang-yawung.","one	child-ERG	3SG.SBJ	PST	shoot-TR	kangaroo	spear-COM","One kid got the kangaroo with a spear."
167,72-4,72,"Kajirri-ngku	im	kat-im	jawurt	kengkaru-yu.","woman-ERG	3SG	cut-TR	tail	kangaroo-DAT","The old woman chopped off the kangaroo's tail."
168,73-3,73,"kura	bindizia-xu-n	nwibu	iskwila-da","priest	bless-PROG-3SG	new	school-ACC","The priest blesses the new school."
169,73-4,73,"yo-ga	sol-ta	kiri-xu-ni	i	no	solea-nga","1SG-TOP	sun-ACC	want-PROG-1SG	and	NEG	shine-3FUT","I want sun and the sun is not going to shine."
170,73-18,73,"miu	ermano-ga	trabaxo-da	akaba-xu-n-mi	a	las	sinko-da","1SG.POSS	brother-TOP	work-ACC	finish-PROG-3-AFF	at	the	five-ACC","My brother (usually) finishes work at five."
171,74-1,74,"man	mákmak	kámuks","man	eat	dog","The man eats the dog."
172,74-2,74,"man	makmak	kamuks","man	eat	dog","The man eats (the) dog."
173,74-3,74,"yáka	łap	ixt	man","3SG	find	one	man","He found a man."
174,75-1,75,"Trwaa	lii	zom	kii-tahkwamamw-ak	trwa	lii	suutkees	shaak.","three	ART.PL	man	PST-carry.INAN-3PL	three	ART.PL	suitcase	each","Three men carried three suitcases each."
175,75-2,75,"La	shyenn	lii	ptsi	shyaen	meekwaat	ayaaw-eew.","DEF.ART.F.SG	bitch	ART.PL	small	dog	PROG	have.ANIM-3.SBJ.3.OBJ","The bitch is having pups."
176,75-3,75,"Lii	zaray	pwaencheu	ayaa-wak	li	loo	pi	li	minush.","ART.PL	ear	pointed	have-3PL	DEF.ART.M.SG	wolf	and	DEF.ART.M.SG	cat","The cat and the wolf are sharp-eared. OR: Cats and wolves have pointed ears."
177,75-4,75,"Kii-wanist-aw	li	zhwal	soo	likoo.","PST-lose.INAN-3	DEF.ART.M.SG	horse	3.POSS.M	halter","The horse lost its halter."
178,75-5,75,"Kii-uchi-pit-am	sa	tet	la	torcheu.","PST-from-pull-3.OBJ.INAN	POSS.3.F	head	DEF.ART.F.SG	turtle","The turtle retracted its head."
179,75-6,75,"Aen	beebii	la	praenses	kii-ayaw-eew.","INDF.M.SG	baby	DEF.ART.F.SG	princess	PST-have.ANIM-3.SBJ.3.OBJ","The princess had a baby."
180,76-1,76,"wai'hinni	artegi	annahanna	pȗgmȗmmi","woman	coat	sew	now","The woman is sewing a coat now."
181,76-3,76,"uñasĭkcu	tautuk	awoñga	atcu	tuktu	atcu	kēruk	añaninni","far	see	I	if	caribou	if	wood	big","I saw far away either a deer or a large piece of wood."
182,1-3,1,"Mi	frigiti	da	man	nen.","1SG	forget	DET.SG	man	name","I have forgotten that man's name."
183,1-4,1,"mi	pikin	en	uma","1SG	child	3SG	woman","my child's wife (daughter in law)"
184,1-5,1,"Tata	fu	da	misi	a	gi	na	en	pikin	da	ten	a	trow	feifi	ten	tin	dusun	pisi	fu	syèlin.","father	of	DET.SG	missis	3SG.SBJ	give	to	3SG	child	DET.SG	time	3SG.SBJ	marry	five	time	ten	thousand	piece	of	shilling","The father of the young lady will give his child fifty thousand Caroli guilders (shilling)."
185,1-6,1,"O-pe	sroto	fu	dyari?","Q-place	key	of	garden","Where is the key of the garden?"
186,2-3,2,"Charles	oto","Charles	car","Charles' car"
187,2-4,2,"mi	ma	prasoro","my	mother	umbrella","my mother's umbrella"
188,2-5,2,"mi	masra	famiri	oso","my	husband	family	house","my husband’s family’s house"
189,2-6,2,"a	buba	fu	a	tigri","DET	skin	of	DET	tiger","the tiger’s pelt"
190,2-7,2,"a	granman	fu	den	Dyuka","DET	chief	of	the.PL	Ndjuka","the chief of the Aukaners"
191,3-2,3,"konu	bo","king	vow","the king's vow"
192,3-3,3,"di	wosu	u	di	womi","DEF.SG	house	for	DEF.SG	man","the house of the man"
193,4-2,4,"a	kownu	pikin","DET.SG	king	child","the king's child"
194,4-3,4,"a	pikin	fu	a	kownu","DET.SG	child	POSS	DET.SG	king","the king's child / the child of the king"
195,5-2,5,"kostomo	gyal	chirin","customer	girl	children","customers' daughters OR: daughters of customers"
196,5-3,5,"di	kova	fo(r)	am	laas","the	cover	POSS	3SG	lose","Its cover is lost."
197,5-4,5,"stoov	ke	tap","stove	POSS	top","top of stove"
198,5-68,5,"di	kova	fo	di	pat	laas","DEF	cover	POSS	DEF	pot	lose","The pot cover is lost."
199,6-2,6,"Meri	haus","Mary	house","Mary's house"
200,6-40,6,"shi	tantie	house","3SG.POSS	aunt	house","her aunt's house"
201,7-2,7,"di	pikni	fo	Meivis","ART	child	for	Mavis","Mavis’ child OR: Mavis' children"
202,7-3,7,"di	pikni	fo	di	woman","ART	child/children	for	ART	woman","the woman’s child(ren)"
203,7-4,7,"misa	Jesi	god	fren	suhn","Mister	Jessie	good	friend	son","Mr Jessie’s good friend’s son"
204,8-2,8,"Mieri	son	gi	Piita	daata	Maak	buk.","Mary	son	give	Peter	daughter	Mark	book","Mary's son gave Peter's daughter Mark's book."
205,8-195,8,"Di	nieba-dem	ous	wash	we	ina	di	laas	flod.","DET	neighbor-PL	house	wash	away	in	DET	last	flood","The neighbours’ house got washed away in the last flood."
206,9-2,9,"di	laya	sista","the	lawyer	sister","the lawyer's sister"
207,9-3,9,"Dog	pa	fi	dem	pap	da	wan	big	dog.","dog	father	for	them	pup	TOP	a	big	dog","These puppies' father is a big dog."
208,9-4,9,"A	waz	soprayz	wen	dey	tel	mi	di	prays	of	sement.","I	was	surprised	when	they	tell	me	the	price	of	cement","I was surprised when they told me the price of cement."
209,10-2,10,"Beda	Taigi,	dat	truu	yu	da	Naansi	raidin	haas?","Brother	Tiger	DEM	true	2SG	FOC	Anansi	riding	horse","Brother Tiger, is it true that you are Anansi’s riding horse?"
210,10-44,10,"Maskita	fala	man	iaz.","mosquito	follow	man	ear","Mosquito follows man's ears."
211,11-2,11,"di	King	waif","ART.DEF	King	wife","the King’s wife"
212,11-3,11,"di	King-z	waif","ART.DEF	King-GEN	wife","the King’s wife"
213,12-2,12,"the	boy	uncle","the	boy[POSS.SG]	uncle","the boy’s uncle"
214,12-3,12,"[...]	all	is	God	people	[...].","[...]	all	COP.3PL	God[POSS]	people	[...]","[...] all are God’s people [...]."
215,13-2,13,"God	work","God	work","God’s work"
